"Date","Value"
"12/31/1915",81.49
"12/31/1916",-4.19
"12/31/1917",-21.71
"12/31/1918",10.51
"12/31/1919",30.45
"12/31/1920",-32.9
"12/31/1921",12.3
"12/31/1922",21.5
"12/31/1923",-2.7
"12/31/1924",26.16
"12/31/1925",25.37
"12/31/1926",4.05
"12/31/1927",27.67
"12/31/1928",49.48
"12/31/1929",-17.17
"12/31/1930",-33.77
"12/31/1931",-52.67
"12/31/1932",-23.07
"12/31/1933",66.69
"12/31/1934",4.14
"12/31/1935",38.53
"12/31/1936",24.82
"12/31/1937",-32.82
"12/31/1938",28.06
"12/31/1939",-2.92
"12/31/1940",-12.72
"12/31/1941",-15.38
"12/31/1942",7.61
"12/31/1943",13.81
"12/31/1944",12.09
"12/31/1945",26.65
"12/31/1946",-8.14
"12/31/1947",2.23
"12/31/1948",-2.13
"12/31/1949",12.88
"12/31/1950",17.63
"12/31/1951",14.37
"12/31/1952",8.42
"12/31/1953",-3.77
"12/31/1954",43.96
"12/31/1955",20.77
"12/31/1956",2.27
"12/31/1957",-12.77
"12/31/1958",33.96
"12/31/1959",16.4
"12/31/1960",-9.34
"12/31/1961",18.71
"12/31/1962",-10.81
"12/31/1963",17
"12/31/1964",14.57
"12/31/1965",10.88
"12/31/1966",-18.94
"12/31/1967",15.2
"12/31/1968",4.27
"12/31/1969",-15.19
"12/31/1970",4.82
"12/31/1971",6.11
"12/31/1972",14.58
"12/31/1973",-16.58
"12/31/1974",-27.57
"12/31/1975",38.32
"12/31/1976",17.86
"12/31/1977",-17.27
"12/31/1978",-3.15
"12/31/1979",4.19
"12/31/1980",14.93
"12/31/1981",-9.23
"12/31/1982",19.6
"12/31/1983",20.27
"12/31/1984",-3.74
"12/31/1985",27.66
"12/31/1986",22.58
"12/31/1987",2.26
"12/31/1988",11.85
"12/31/1989",26.96
"12/31/1990",-4.34
"12/31/1991",20.32
"12/31/1992",4.17
"12/31/1993",13.72
"12/31/1994",2.14
"12/31/1995",33.45
"12/31/1996",26.01
"12/31/1997",22.64
"12/31/1998",16.1
"12/31/1999",25.22
"12/31/2000",-6.17
"12/31/2001",-7.1
"12/31/2002",-16.76
"12/31/2003",25.32
"12/31/2004",3.15
"12/31/2005",-0.61
"12/31/2006",16.29
"12/31/2007",6.43
"12/31/2008",-33.84
"12/31/2009",18.82
"12/31/2010",11.02
"12/31/2011",5.53
"12/31/2012",7.26
"12/31/2013",26.5
"12/31/2014",7.52
"12/31/2015",-2.23
"12/31/2016",13.42
"12/31/2017",25.08
"12/31/2018",-5.63
"12/31/2019",22.34
"12/31/2020",7.25
"12/31/2021",18.73
"12/31/2022",-8.78
"12/31/2023",13.7
"12/31/2024",12.88
"12/31/2025",13.14
